id,BDL_10001,BDL_10002,BDL_10003,BDL_10004,BDL_10010,BDL_10011,BDL_10012
L2762,855.0,855.0,23.799999,28.799999,1.0,0.0,47.0
L2776,898.0,898.0,19.299999,21.9,1.0,0.0,48.0
L2777,898.0,898.0,19.700001,22.1,1.0,0.0,48.0
L2788,779.0,779.0,22.1,26.200001,1.0,0.0,48.0
L2794,938.0,938.0,27.0,24.799999,1.0,0.0,80.0
L2797,682.0,682.0,27.5,25.299999,1.0,0.0,80.0
L2798,702.0,702.0,41.5,72.199997,1.0,1.0,80.0
L2805,820.0,820.0,26.6,45.400002,1.0,1.0,107.0
L2809,716.0,716.0,22.0,26.700001,1.0,0.0,100.0
L2810,756.0,756.0,35.700001,40.5,1.0,0.0,81.0
L2816,847.0,847.0,21.1,22.200001,1.0,0.0,101.0
L2817,1007.0,1007.0,27.0,30.799999,1.0,0.0,79.0
L2819,785.0,785.0,29.6,40.299999,1.0,0.0,78.0
L2820,811.0,811.0,28.5,35.0,1.0,0.0,78.0
L2822,617.0,617.0,29.200001,35.5,1.0,0.0,78.0
L2831,675.0,675.0,30.0,53.0,1.0,1.0,90.0
L2832,811.0,811.0,25.6,49.200001,1.0,1.0,90.0
L2833,598.0,598.0,37.5,65.800003,1.0,1.0,90.0
L2836,662.0,662.0,24.0,28.700001,1.0,1.0,77.0
L2837,662.0,662.0,58.599998,67.099998,1.0,1.0,77.0
L2838,731.0,731.0,42.599998,71.900002,1.0,1.0,77.0
L2839,735.0,735.0,43.599998,64.199997,1.0,1.0,77.0
L2840,631.0,631.0,43.599998,69.0,1.0,1.0,77.0
L2841,703.0,703.0,37.5,45.0,1.0,0.0,84.0
L2848,766.0,766.0,19.200001,24.6,1.0,0.0,80.0
L2850,762.0,762.0,23.9,33.0,1.0,0.0,67.0
L2851,733.0,733.0,18.299999,20.799999,1.0,0.0,82.0
L2852,620.0,620.0,18.6,23.200001,1.0,0.0,42.0
L2853,561.0,561.0,20.0,23.799999,1.0,1.0,42.0
L2859,711.0,711.0,20.700001,22.5,1.0,0.0,130.0
L2860,764.0,764.0,17.799999,19.700001,1.0,0.0,130.0
L2863,611.0,611.0,27.1,30.799999,1.0,0.0,68.0
L2864,731.0,731.0,21.4,23.5,1.0,0.0,94.0
L2865,752.0,752.0,20.9,38.900002,1.0,1.0,94.0
L2866,631.0,631.0,21.799999,56.700001,1.0,1.0,76.0
L2867,741.0,741.0,18.299999,32.700001,1.0,1.0,76.0
